file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
D:\UMBC\701\sbom-finder\sbom-finder-backend\src\main\java\com\sbomfinder\model\ExternalReference.java,com.sbomfinder.model.ExternalReference,class,8,13,5,8,12,1,0,0,40,0.76666665,0.1969697,0.56060606,12,0,12,0,0,0,12,0,0,0,5,0,0,5,0,0,0,0,0,45,5,0,0,0,0,5,0,9,0,5,0,0,0,0,16,1,0
D:\UMBC\701\sbom-finder\sbom-finder-backend\src\main\java\com\sbomfinder\controller\SbomController.java,com.sbomfinder.controller.SbomController$DeviceDetailsResponse,innerclass,4,4,0,4,1,1,0,4,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,7,0,7,0,0,0,0,0,0,18,0,0,0,0,0,0,0,7,0,7,0,0,0,0,15,9,0
D:\UMBC\701\sbom-finder\sbom-finder-backend\src\main\java\com\sbomfinder\dto\CommonSoftwareDTO.java,com.sbomfinder.dto.CommonSoftwareDTO,class,0,0,0,0,7,1,0,0,9,0.7142858,0.2857143,1.0,7,0,7,0,0,0,7,0,0,0,6,0,0,6,0,0,0,0,0,34,6,0,0,0,0,0,0,6,0,6,0,0,0,0,17,1,0
D:\UMBC\701\sbom-finder\sbom-finder-backend\src\main\java\com\sbomfinder\service\VulnerabilityService.java,com.sbomfinder.service.VulnerabilityService,class,6,7,1,6,2,1,0,18,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,18,3,0,0,0,0,0,0,3,0,5,1,0,0,1,20,1,0
D:\UMBC\701\sbom-finder\sbom-finder-backend\src\main\java\com\sbomfinder\dto\CompareDevicesRequest.java,com.sbomfinder.dto.CompareDevicesRequest,class,0,0,0,0,4,1,0,0,2,0.5,0.33333334,0.33333334,4,0,4,0,0,0,4,0,0,0,2,0,0,2,0,0,0,0,0,16,2,0,0,0,0,0,0,2,0,2,0,0,0,0,10,1,0
D:\UMBC\701\sbom-finder\sbom-finder-backend\src\main\java\com\sbomfinder\repository\VulnerabilityRepository.java,com.sbomfinder.repository.VulnerabilityRepository,interface,3,4,1,3,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0
D:\UMBC\701\sbom-finder\sbom-finder-backend\src\main\java\com\sbomfinder\dto\VulnerabilityDTO.java,com.sbomfinder.dto.VulnerabilityDTO,class,1,7,6,1,34,1,0,16,159,0.8947369,0.13333334,0.13333334,19,0,10,9,0,0,10,0,0,0,5,0,0,5,0,0,0,0,3,98,23,1,2,1,6,22,29,15,15,13,3,0,0,0,41,1,0
D:\UMBC\701\sbom-finder\sbom-finder-backend\src\main\java\com\sbomfinder\dto\DeviceDetailsDTO.java,com.sbomfinder.dto.DeviceDetailsDTO,class,3,5,2,3,14,1,0,0,63,0.8511904,0.15384616,1.0,14,0,14,0,0,0,14,0,0,0,12,0,0,12,0,0,0,0,0,67,12,0,0,0,0,0,0,13,0,12,0,0,0,0,37,1,0
D:\UMBC\701\sbom-finder\sbom-finder-backend\src\main\java\com\sbomfinder\dto\UploadSbomRequest.java,com.sbomfinder.dto.UploadSbomRequest,class,1,1,0,1,10,1,0,0,35,0.8,0.11111111,0.11111111,10,0,10,0,0,0,10,0,0,0,5,0,0,5,0,0,0,0,0,37,5,0,0,0,0,0,0,5,0,5,0,0,0,0,18,1,0
D:\UMBC\701\sbom-finder\sbom-finder-backend\src\main\java\com\sbomfinder\dto\SoftwarePackageDTO.java,com.sbomfinder.dto.SoftwarePackageDTO,class,1,3,2,1,7,1,0,0,7,0.68571424,0.33333334,1.0,7,0,7,0,0,0,7,0,0,0,5,0,0,5,0,0,0,0,0,32,5,0,0,0,0,0,0,6,0,5,0,0,0,0,18,1,0
