file,class,method,variable,usage
D:\UMBC\701\sbom-finder\sbom-finder-backend\src\main\java\com\sbomfinder\model\ExternalReference.java,com.sbomfinder.model.ExternalReference,getSbom/0,sbom,1
D:\UMBC\701\sbom-finder\sbom-finder-backend\src\main\java\com\sbomfinder\model\ExternalReference.java,com.sbomfinder.model.ExternalReference,setReferenceType/1[java.lang.String],referenceType,3
D:\UMBC\701\sbom-finder\sbom-finder-backend\src\main\java\com\sbomfinder\model\ExternalReference.java,com.sbomfinder.model.ExternalReference,getReferenceCategory/0,referenceCategory,1
D:\UMBC\701\sbom-finder\sbom-finder-backend\src\main\java\com\sbomfinder\model\ExternalReference.java,com.sbomfinder.model.ExternalReference,"ExternalReference/4[com.sbomfinder.model.Sbom,java.lang.String,java.lang.String,java.lang.String]",referenceLocator,3
D:\UMBC\701\sbom-finder\sbom-finder-backend\src\main\java\com\sbomfinder\model\ExternalReference.java,com.sbomfinder.model.ExternalReference,"ExternalReference/4[com.sbomfinder.model.Sbom,java.lang.String,java.lang.String,java.lang.String]",sbom,3
D:\UMBC\701\sbom-finder\sbom-finder-backend\src\main\java\com\sbomfinder\model\ExternalReference.java,com.sbomfinder.model.ExternalReference,"ExternalReference/4[com.sbomfinder.model.Sbom,java.lang.String,java.lang.String,java.lang.String]",referenceType,3
D:\UMBC\701\sbom-finder\sbom-finder-backend\src\main\java\com\sbomfinder\model\ExternalReference.java,com.sbomfinder.model.ExternalReference,"ExternalReference/4[com.sbomfinder.model.Sbom,java.lang.String,java.lang.String,java.lang.String]",referenceCategory,3
D:\UMBC\701\sbom-finder\sbom-finder-backend\src\main\java\com\sbomfinder\model\ExternalReference.java,com.sbomfinder.model.ExternalReference,getReferenceType/0,referenceType,1
D:\UMBC\701\sbom-finder\sbom-finder-backend\src\main\java\com\sbomfinder\model\ExternalReference.java,com.sbomfinder.model.ExternalReference,setId/1[java.lang.Long],id,3
D:\UMBC\701\sbom-finder\sbom-finder-backend\src\main\java\com\sbomfinder\model\ExternalReference.java,com.sbomfinder.model.ExternalReference,setReferenceCategory/1[java.lang.String],referenceCategory,3
D:\UMBC\701\sbom-finder\sbom-finder-backend\src\main\java\com\sbomfinder\model\ExternalReference.java,com.sbomfinder.model.ExternalReference,setReferenceLocator/1[java.lang.String],referenceLocator,3
D:\UMBC\701\sbom-finder\sbom-finder-backend\src\main\java\com\sbomfinder\model\ExternalReference.java,com.sbomfinder.model.ExternalReference,getId/0,id,1
D:\UMBC\701\sbom-finder\sbom-finder-backend\src\main\java\com\sbomfinder\model\ExternalReference.java,com.sbomfinder.model.ExternalReference,setSbom/1[com.sbomfinder.model.Sbom],sbom,3
D:\UMBC\701\sbom-finder\sbom-finder-backend\src\main\java\com\sbomfinder\model\ExternalReference.java,com.sbomfinder.model.ExternalReference,getReferenceLocator/0,referenceLocator,1
D:\UMBC\701\sbom-finder\sbom-finder-backend\src\main\java\com\sbomfinder\controller\SbomController.java,com.sbomfinder.controller.SbomController$DeviceDetailsResponse,"DeviceDetailsResponse/4[com.sbomfinder.model.Device,com.sbomfinder.model.Sbom,java.util.List<com.sbomfinder.model.SoftwarePackage>,java.util.List<com.sbomfinder.model.ExternalReference>]",externalReferences,3
D:\UMBC\701\sbom-finder\sbom-finder-backend\src\main\java\com\sbomfinder\controller\SbomController.java,com.sbomfinder.controller.SbomController$DeviceDetailsResponse,"DeviceDetailsResponse/4[com.sbomfinder.model.Device,com.sbomfinder.model.Sbom,java.util.List<com.sbomfinder.model.SoftwarePackage>,java.util.List<com.sbomfinder.model.ExternalReference>]",sbomDetails,1
