file,class,method,variable,usage
D:\UMBC\701\sbom-finder\sbom-finder-backend\src\main\java\com\sbomfinder\model\ExternalReference.java,com.sbomfinder.model.ExternalReference,setReferenceType/1[java.lang.String],referenceType,2
D:\UMBC\701\sbom-finder\sbom-finder-backend\src\main\java\com\sbomfinder\model\ExternalReference.java,com.sbomfinder.model.ExternalReference,"ExternalReference/4[com.sbomfinder.model.Sbom,java.lang.String,java.lang.String,java.lang.String]",referenceLocator,2
D:\UMBC\701\sbom-finder\sbom-finder-backend\src\main\java\com\sbomfinder\model\ExternalReference.java,com.sbomfinder.model.ExternalReference,"ExternalReference/4[com.sbomfinder.model.Sbom,java.lang.String,java.lang.String,java.lang.String]",sbom,2
D:\UMBC\701\sbom-finder\sbom-finder-backend\src\main\java\com\sbomfinder\model\ExternalReference.java,com.sbomfinder.model.ExternalReference,"ExternalReference/4[com.sbomfinder.model.Sbom,java.lang.String,java.lang.String,java.lang.String]",referenceType,2
D:\UMBC\701\sbom-finder\sbom-finder-backend\src\main\java\com\sbomfinder\model\ExternalReference.java,com.sbomfinder.model.ExternalReference,"ExternalReference/4[com.sbomfinder.model.Sbom,java.lang.String,java.lang.String,java.lang.String]",referenceCategory,2
D:\UMBC\701\sbom-finder\sbom-finder-backend\src\main\java\com\sbomfinder\model\ExternalReference.java,com.sbomfinder.model.ExternalReference,setId/1[java.lang.Long],id,2
D:\UMBC\701\sbom-finder\sbom-finder-backend\src\main\java\com\sbomfinder\model\ExternalReference.java,com.sbomfinder.model.ExternalReference,setReferenceCategory/1[java.lang.String],referenceCategory,2
D:\UMBC\701\sbom-finder\sbom-finder-backend\src\main\java\com\sbomfinder\model\ExternalReference.java,com.sbomfinder.model.ExternalReference,setReferenceLocator/1[java.lang.String],referenceLocator,2
D:\UMBC\701\sbom-finder\sbom-finder-backend\src\main\java\com\sbomfinder\model\ExternalReference.java,com.sbomfinder.model.ExternalReference,setSbom/1[com.sbomfinder.model.Sbom],sbom,2
D:\UMBC\701\sbom-finder\sbom-finder-backend\src\main\java\com\sbomfinder\controller\SbomController.java,com.sbomfinder.controller.SbomController$DeviceDetailsResponse,"DeviceDetailsResponse/4[com.sbomfinder.model.Device,com.sbomfinder.model.Sbom,java.util.List<com.sbomfinder.model.SoftwarePackage>,java.util.List<com.sbomfinder.model.ExternalReference>]",externalReferences,2
D:\UMBC\701\sbom-finder\sbom-finder-backend\src\main\java\com\sbomfinder\controller\SbomController.java,com.sbomfinder.controller.SbomController$DeviceDetailsResponse,"DeviceDetailsResponse/4[com.sbomfinder.model.Device,com.sbomfinder.model.Sbom,java.util.List<com.sbomfinder.model.SoftwarePackage>,java.util.List<com.sbomfinder.model.ExternalReference>]",softwarePackages,2
D:\UMBC\701\sbom-finder\sbom-finder-backend\src\main\java\com\sbomfinder\controller\SbomController.java,com.sbomfinder.controller.SbomController$DeviceDetailsResponse,"DeviceDetailsResponse/4[com.sbomfinder.model.Device,com.sbomfinder.model.Sbom,java.util.List<com.sbomfinder.model.SoftwarePackage>,java.util.List<com.sbomfinder.model.ExternalReference>]",sbom,1
D:\UMBC\701\sbom-finder\sbom-finder-backend\src\main\java\com\sbomfinder\controller\SbomController.java,com.sbomfinder.controller.SbomController$DeviceDetailsResponse,"DeviceDetailsResponse/4[com.sbomfinder.model.Device,com.sbomfinder.model.Sbom,java.util.List<com.sbomfinder.model.SoftwarePackage>,java.util.List<com.sbomfinder.model.ExternalReference>]",device,4
D:\UMBC\701\sbom-finder\sbom-finder-backend\src\main\java\com\sbomfinder\dto\CommonSoftwareDTO.java,com.sbomfinder.dto.CommonSoftwareDTO,"CommonSoftwareDTO/6[java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String]",versionDevice1,2
D:\UMBC\701\sbom-finder\sbom-finder-backend\src\main\java\com\sbomfinder\dto\CommonSoftwareDTO.java,com.sbomfinder.dto.CommonSoftwareDTO,"CommonSoftwareDTO/6[java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String]",componentType,2
